person_id,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,customer_id,age,gender,education_level,location_type,employment_type,estimated_monthly_income,mobile_tenure_months,monthly_airtime_spend,monthly_data_usage_gb,avg_calls_per_day,avg_sms_per_day,avg_call_duration_mins,network_stability_score,digital_wallet_usage,monthly_digital_transactions,avg_transaction_amount,online_purchases_per_month,avg_online_spend,social_media_activity_score,social_network_size,mobile_banking_user,digital_loan_history,digital_engagement_score,financial_inclusion_score,employment_status,income_level,monthly_income,region,electricity_bill_avg,water_bill_avg,gas_bill_avg,total_utility_expense,utility_to_income_ratio,on_time_payments_12m,late_payments_12m,avg_delay_days,disconnection_count,payment_method,credit_risk_score,credit_risk_category,target
874,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,272,33.0,1,1,0,2,546.0,42.0,40.15,1.96,6.0,14.0,2.64,74.0,1.0,14.0,97.33,2.0,72.48,50.0,165.0,1.0,1.0,56.0,802.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
904,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,488,18.0,0,0,1,1,266.0,30.0,82.33,0.94,7.0,15.0,2.88,36.0,0.0,0.0,0.0,6.0,90.71,39.0,149.0,0.0,0.0,19.0,300.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
908,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,491,27.0,1,1,3,2,327.0,25.0,31.83,0.9,8.0,13.0,11.8,74.0,0.0,0.0,0.0,3.0,56.43,39.0,135.0,0.0,0.0,15.0,469.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
819,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,411,28.0,0,1,3,1,312.0,25.0,19.19,5.35,11.0,15.0,1.11,78.0,1.0,15.0,29.57,3.0,49.38,64.0,156.0,1.0,0.0,57.0,596.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
348,27507.0,2,33.0,4,0,20991.0,9.5,0.463,0,18.0,250,33.278,2,3,2,4,327.26,24.08,30.10496,3.2174399999999994,8.052,11.896,5.949559999999999,74.584,0.748,11.328,35.1548,3.124,80.10556,48.468,151.5,0.624,0.34,43.112,566.204,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
838,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,429,18.0,0,0,3,1,289.0,20.0,27.84,5.78,9.0,14.0,15.21,63.0,0.0,0.0,0.0,1.0,256.5,83.0,139.0,1.0,0.0,36.0,422.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
781,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,377,19.0,1,1,3,0,373.0,26.0,26.17,4.92,7.0,4.0,3.34,100.0,1.0,12.0,45.63,2.0,128.91,63.0,156.0,1.0,0.0,54.0,742.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
785,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,264,26.0,1,1,1,1,126.0,26.0,9.32,2.47,10.0,16.0,4.4,46.0,1.0,18.0,13.63,1.0,33.31,32.0,155.0,0.0,0.0,37.0,326.0,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
512,50580.296,3,19.958,5,7,21068.998,15.33908,0.325986,1,16.026,109,34.0,0,3,2,4,327.26,24.08,30.10496,3.2174399999999994,8.052,11.896,5.949559999999999,74.584,0.748,11.328,35.1548,3.124,80.10556,48.468,151.5,0.624,0.34,43.112,566.204,2,1,2516.0,3,113.0,92.55,40.35,245.9,9.77,2.0,10.0,1.0,0.0,0,372.0,0,0
42,34334.0,2,8.0,0,0,6355.0,23.79,0.5,0,19.0,250,33.278,2,3,2,4,327.26,24.08,30.10496,3.2174399999999994,8.052,11.896,5.949559999999999,74.584,0.748,11.328,35.1548,3.124,80.10556,48.468,151.5,0.624,0.34,43.112,566.204,4,3,3973.264,2,102.74743999999998,39.8,51.1794,193.72684,5.96652,8.632,3.368,4.152,0.16,5,707.208,3,0
